"step";"bible_ref";"bible_ref_positive_negative";"bible_ref_origin";"bible_ref_author";"bible_ref_type";"category";"title_nl";"title_ot_nl";"title_ot_en";"title_ot_code";"title_en";"title_negative_en";"devotional_en";"devotional_nl";"devotional_source";"questions";"quote";"quote_source"
8;"Mar 5:18-20";"positive";;"Jesus";"duplicate";"Witnessing Commands";;;;;;;;;;;;
8;"Mar 6:7a";"positive";;"Jesus";"duplicate";"Witnessing Commands";;;;;;;;;;;;
8;"Mar 6:12";"positive";;"Jesus";"example";"Witnessing Commands";;;;;;;;;;;;
8;"Luk 9:6";"positive";;"Jesus";"indirect";"Witnessing Commands";;;;;;;;;;;;
8;"Han 10:42";"positive";;"Peter";"direct";"Witnessing Commands";;;;;;;;;;;;
8;"Han 13:38-39";"positive";;"Paul";"direct";"Witnessing Commands";;;;;;;;;;;;
8;"Han 13:47";"positive";;"Paul";"direct";"Witnessing Commands";;;;;;;;;;;;
8;"Han 13:5";"positive";;"Paul";"example";"Witnessing Commands";;;;;;;;;;;;
8;"Han 14:7";"positive";;"Paul";"example";"Witnessing Commands";;;;;;;;;;;;
8;"Han 26:15-18";"positive";;"Paul";"duplicate";"Witnessing Commands";;;;;;;;;;;;
8;"Mar 13:10";"positive";;"Jesus";"direct";"Witnessing Commands";;;;;;;;;;;;
8;"Mat 24:14";"positive";;"Jesus";"direct";"Witnessing Commands";;;;;;;;;;;;
8;"Mat 26:13";"positive";;"Jesus";"direct";"Witnessing Commands";;;;;;;;;;;;
8;"Mat 28:19";"positive";;"Jesus";"direct";"Witnessing Commands";;;;;;;;;;;;
8;"Mat 10:7";"positive";;"Jesus";"example";"Witnessing Commands";;;;;;;;;;;;
8;"Luk 8:39";"positive";;"Jesus";"example";"Witnessing Commands";;;;;;;;;;;;
8;"Luk 9:60";"positive";;"Jesus";"indirect";"Witnessing Commands";;;;;;;;;;;;
8;"Luk 24:47";"positive";;"Jesus";"direct";"Witnessing Commands";;;;;;;;;;;;
8;"Joh 15:27";"positive";;"Jesus";"direct";"Witnessing Commands";;;;;;;;;;;;
8;"Joh 17:18";"positive";;"Jesus";"direct";"Witnessing Commands";;;;;;;;;;;;
8;"Joh 20:21";"positive";;"Jesus";"direct";"Witnessing Commands";;;;;;;;;;;;
8;"Han 1:8";"positive";;"Apostles";"example";"Witnessing Commands";;;;;;;;;;;;
8;"Mat 12:18";"positive";;"Jesus";"indirect";"Witnessing Commands";;;;;;;;;;;;
8;"Luk 13:3";"positive";;"Jesus";"example";"Witnessing Commands";;;;;;;;;;;;
8;"Jes 42:1";"positive";;"Jesus";"indirect";"Witnessing Commands";;;;;;;;;;;;
8;"Jes 6:8-9";"positive";;"Isaiah";"indirect";"Witnessing Commands";;;;;;;;;;;;
8;"1 Pet 2:9";"positive";;"Peter";"direct";"Witnessing Commands";;;;;;;;;;;;
8;"Rom 1:8";"positive";;"Paul";"direct";"Witnessing Commands";;;;;;;;;;;;
8;"Han 28:31";"positive";;"Paul";"example";"Witnessing Commands";;;;;;;;;;;;
8;"Ps 73:28";"positive";;"Asaph";"example";"Witnessing Commands";;;;;;;;;;;;
